,index,category,year,win,entity
18,3,support_actress,2010,False,['Anna Kendrick']
19,4,support_actress,2010,False,['Diane Kruger']
20,0,support_actor,2010,True,['Christoph Waltz']
21,1,support_actor,2010,False,['Matt Damon']
22,2,support_actor,2010,False,['Woody Harrelson']
23,3,support_actor,2010,False,['Christopher Plummer']
24,4,support_actor,2010,False,['Stanley Tucci']
0,0,best_picture_cast,2009,True,['Slumdog Millionaire']
1,1,best_picture_cast,2009,False,['The Curious Case of Benjamin Button']
2,2,best_picture_cast,2009,False,['Doubt']
3,3,best_picture_cast,2009,False,['Frost/Nixon']
4,4,best_picture_cast,2009,False,['Milk']
5,0,best_actress,2009,True,['Meryl Streep']
6,1,best_actress,2009,False,['Anne Hathaway']
7,2,best_actress,2009,False,['Angelina Jolie']
8,3,best_actress,2009,False,['Melissa Leo']
9,4,best_actress,2009,False,['Kate Winslet']
10,0,best_actor,2009,True,['Kate Winslet']
11,1,best_actor,2009,False,['Amy Adams']
12,2,best_actor,2009,False,['Penélope Cruz']
13,3,best_actor,2009,False,['Viola Davis']
14,4,best_actor,2009,False,['Taraji P. Henson']
15,0,support_actress,2009,True,['Heath Ledger']
16,1,support_actress,2009,False,['Josh Brolin']
17,2,support_actress,2009,False,"['Robert Downey', ' Jr.']"
18,3,support_actress,2009,False,['Philip Seymour Hoffman']
19,4,support_actress,2009,False,['Dev Patel']
20,0,support_actor,2009,True,
21,1,support_actor,2009,False,
22,2,support_actor,2009,False,
23,3,support_actor,2009,False,
24,4,support_actor,2009,False,
0,0,best_picture_cast,2008,True,['No Country For Old Men']
1,1,best_picture_cast,2008,False,['3:10 to Yuma']
2,2,best_picture_cast,2008,False,['American Gangster']
3,3,best_picture_cast,2008,False,['Hairspray']
4,4,best_picture_cast,2008,False,['Into The Wild']
5,0,best_actress,2008,True,['Julie Christie']
6,1,best_actress,2008,False,['Cate Blanchett']
7,2,best_actress,2008,False,['Marion Cotillard']
8,3,best_actress,2008,False,['Angelina Jolie']
9,4,best_actress,2008,False,['Ellen Page']
10,0,best_actor,2008,True,['Daniel Day-Lewis']
11,1,best_actor,2008,False,['George Clooney']
12,2,best_actor,2008,False,['Ryan Gosling']
13,3,best_actor,2008,False,['Emile Hirsch']
14,4,best_actor,2008,False,['Viggo Mortensen']
15,0,support_actress,2008,True,['Ruby Dee']
16,1,support_actress,2008,False,['Cate Blanchett']
17,2,support_actress,2008,False,['Catherine Keener']
18,3,support_actress,2008,False,['Amy Ryan']
19,4,support_actress,2008,False,['Tilda Swinton']
20,0,support_actor,2008,True,['Javier Bardem']
21,1,support_actor,2008,False,['Casey Affleck']
22,2,support_actor,2008,False,['Hal Holbrook']
23,3,support_actor,2008,False,['Tommy Lee Jones']
24,4,support_actor,2008,False,['Tom Wilkinson']
0,0,best_picture_cast,2007,True,['Little Miss Sunshine']
1,1,best_picture_cast,2007,False,['Babel']
2,2,best_picture_cast,2007,False,['Bobby']
3,3,best_picture_cast,2007,False,['The Departed']
4,4,best_picture_cast,2007,False,['Dreamgirls']
5,0,best_actress,2007,True,['Helen Mirren']
6,1,best_actress,2007,False,['Penélope Cruz']
7,2,best_actress,2007,False,['Judi Dench']
8,3,best_actress,2007,False,['Meryl Streep']
9,4,best_actress,2007,False,['Kate Winslet']
10,0,best_actor,2007,True,['Forest Whitaker']
11,1,best_actor,2007,False,['Leonardo DiCaprio']
12,2,best_actor,2007,False,['Ryan Gosling']
13,3,best_actor,2007,False,"[""Peter O'Toole""]"
14,4,best_actor,2007,False,['Will Smith']
15,0,support_actress,2007,True,['Jennifer Hudson']
16,1,support_actress,2007,False,['Adriana Barraza']
17,2,support_actress,2007,False,['Cate Blanchett']
18,3,support_actress,2007,False,['Abigail Breslin']
19,4,support_actress,2007,False,['Rinko Kikuchi']
20,0,support_actor,2007,True,['Eddie Murphy']
21,1,support_actor,2007,False,['Alan Arkin']
22,2,support_actor,2007,False,['Leonardo DiCaprio']
23,3,support_actor,2007,False,['Jackie Earle Haley']
24,4,support_actor,2007,False,['Djimon Hounsou']
0,0,best_picture_cast,2006,True,['Crash']
1,1,best_picture_cast,2006,False,['Brokeback Mountain']
2,2,best_picture_cast,2006,False,['Capote']
3,3,best_picture_cast,2006,False,"['Good Night', ' And Good Luck']"
4,4,best_picture_cast,2006,False,['Hustle & Flow']
5,0,best_actress,2006,True,['Reese Witherspoon']
6,1,best_actress,2006,False,['Judi Dench']
7,2,best_actress,2006,False,['Felicity Huffman']
8,3,best_actress,2006,False,['Charlize Theron']
9,4,best_actress,2006,False,['Ziyi Zhang ']
10,0,best_actor,2006,True,['Philip Seymour Hoffman']
11,1,best_actor,2006,False,['Russell Crowe']
12,2,best_actor,2006,False,['Heath Ledger']
13,3,best_actor,2006,False,['Joaquin Phoenix']
14,4,best_actor,2006,False,['David Strathairn']
15,0,support_actress,2006,True,['Rachel Weisz']
16,1,support_actress,2006,False,['Amy Adams']
17,2,support_actress,2006,False,['Catherine Keener']
18,3,support_actress,2006,False,['Frances McDormand']
19,4,support_actress,2006,False,['Michelle Williams']
20,0,support_actor,2006,True,['Paul Giamatti']
21,1,support_actor,2006,False,['Don Cheadle ']
22,2,support_actor,2006,False,['George Clooney']
23,3,support_actor,2006,False,['Matt Dillon']
24,4,support_actor,2006,False,['Jake Gyllenhaal']
0,0,best_picture_cast,2005,True,['Sideways']
1,1,best_picture_cast,2005,False,['The Aviator']
2,2,best_picture_cast,2005,False,['Finding Neverland']
3,3,best_picture_cast,2005,False,['Hotel Rwanda']
4,4,best_picture_cast,2005,False,['Million Dollar Baby']
5,5,best_picture_cast,2005,False,['Ray']
6,0,best_actress,2005,True,['Hilary Swank']
7,1,best_actress,2005,False,['Annette Bening']
8,2,best_actress,2005,False,['Catalina Sandino Moreno']
9,3,best_actress,2005,False,['Imelda Staunton']
10,4,best_actress,2005,False,['Kate Winslet']
11,5,best_actress,2005,False,['na']
12,0,best_actor,2005,True,['Jamie Foxx']
13,1,best_actor,2005,False,['Don Cheadle']
14,2,best_actor,2005,False,['Johnny Depp']
15,3,best_actor,2005,False,['Leonardo DiCaprio']
16,4,best_actor,2005,False,['Paul Giamatti']
17,5,best_actor,2005,False,['na']
18,0,support_actress,2005,True,['Cate Blanchett']
19,1,support_actress,2005,False,['Cloris Leachman']
20,2,support_actress,2005,False,['Laura Linney']
21,3,support_actress,2005,False,['Virginia Madsen']
22,4,support_actress,2005,False,['Sophie Okonedo']
23,5,support_actress,2005,False,['na']
24,0,support_actor,2005,True,['Morgan Freeman']
25,1,support_actor,2005,False,['Thomas Haden Church']
26,2,support_actor,2005,False,['Jamie Foxx']
27,3,support_actor,2005,False,['James Garner']
28,4,support_actor,2005,False,['Freddie Highmore']
29,5,support_actor,2005,False,['na']
0,0,best_picture_cast,2004,True,['THE LORD OF THE RINGS: THE RETURN OF THE KING ']
1,1,best_picture_cast,2004,False,['In America']
2,2,best_picture_cast,2004,False,['Mystic River']
3,3,best_picture_cast,2004,False,['Seabiscuit']
4,4,best_picture_cast,2004,False,['The Station Agent']
5,0,best_actress,2004,True,['Charlize Theron']
6,1,best_actress,2004,False,['Patricia Clarkson']
7,2,best_actress,2004,False,['Diane Keaton']
8,3,best_actress,2004,False,['Naomi Watts']
9,4,best_actress,2004,False,['Evan Rachel Wood']
10,0,best_actor,2004,True,['Johnny Depp']
11,1,best_actor,2004,False,['Peter Dinklage']
12,2,best_actor,2004,False,['Ben Kingsley']
13,3,best_actor,2004,False,['Bill Murray']
14,4,best_actor,2004,False,['Sean Penn']
15,0,support_actress,2004,True,['Renée Zellweger']
16,1,support_actress,2004,False,['Maria Bello']
17,2,support_actress,2004,False,['Keisha Castle-Hughes']
18,3,support_actress,2004,False,['Patricia Clarkson']
19,4,support_actress,2004,False,['Holly Hunter']
20,0,support_actor,2004,True,['Tim Robbins']
21,1,support_actor,2004,False,['Alec Baldwin']
22,2,support_actor,2004,False,['Chris Cooper']
23,3,support_actor,2004,False,['Benicio Del Toro']
24,4,support_actor,2004,False,['Ken Watanabe']
0,0,best_picture_cast,2003,True,['Chicago']
1,1,best_picture_cast,2003,False,['Adaptation']
2,2,best_picture_cast,2003,False,['The Hours']
3,3,best_picture_cast,2003,False,['The Lord of the Rings: The Two Towers']
4,4,best_picture_cast,2003,False,['My Big Fat Greek Wedding']
5,0,best_actress,2003,True,['Renée Zellweger']
6,1,best_actress,2003,False,['Salma Hayek']
7,2,best_actress,2003,False,['Nicole Kidman']
8,3,best_actress,2003,False,['Diane Lane']
9,4,best_actress,2003,False,['Julianne Moore']
10,0,best_actor,2003,True,['Daniel Day-Lewis']
11,1,best_actor,2003,False,['Adrien Brody']
12,2,best_actor,2003,False,['Nicolas Cage']
13,3,best_actor,2003,False,['Richard Gere']
14,4,best_actor,2003,False,['Jack Nicholson']
15,0,support_actress,2003,True,['Catherine Zeta-Jones']
16,1,support_actress,2003,False,['Kathy Bates']
17,2,support_actress,2003,False,['Julianne Moore']
18,3,support_actress,2003,False,['MIchelle Pfeiffer']
19,4,support_actress,2003,False,['Queen Latifah']
20,0,support_actor,2003,True,['Christopher Walken']
21,1,support_actor,2003,False,['Chris Cooper']
22,2,support_actor,2003,False,['Ed Harris']
23,3,support_actor,2003,False,['Alfred Molina']
24,4,support_actor,2003,False,['Dennis Quaid']
0,0,best_picture_cast,2002,True,['Gosford Park']
1,1,best_picture_cast,2002,False,['A Beautiful Mind']
2,2,best_picture_cast,2002,False,['In The Bedroom']
3,3,best_picture_cast,2002,False,['Lord Of The Rings: The Fellowship of the Ring']
4,4,best_picture_cast,2002,False,['Moulin Rouge']
5,0,best_actress,2002,True,['Halle Berry']
6,1,best_actress,2002,False,['Jennifer Connelly']
7,2,best_actress,2002,False,['Judi Dench']
8,3,best_actress,2002,False,['Sissy Spacek']
9,4,best_actress,2002,False,['Reneé Zellweger']
10,0,best_actor,2002,True,['Russell Crowe']
11,1,best_actor,2002,False,['Kevin Kline']
12,2,best_actor,2002,False,['Sean Penn']
13,3,best_actor,2002,False,['Denzel Washington']
14,4,best_actor,2002,False,['Tom Wilkinson']
15,0,support_actress,2002,True,['Helen Mirren']
16,1,support_actress,2002,False,['Cate Blanchett']
17,2,support_actress,2002,False,['Judi Dench']
18,3,support_actress,2002,False,['Cameron Diaz']
19,4,support_actress,2002,False,['Dakota Fanning']
20,0,support_actor,2002,True,['Ian McKellen']
21,1,support_actor,2002,False,['Jim Broadbent']
22,2,support_actor,2002,False,['Hayden Christensen']
23,3,support_actor,2002,False,['Ethan Hawke']
24,4,support_actor,2002,False,['Ben Kingsley']
0,0,best_picture_cast,2001,True,['Traffic']
1,1,best_picture_cast,2001,False,['Almost Famous']
2,2,best_picture_cast,2001,False,['Billy Elliot']
3,3,best_picture_cast,2001,False,['Chocolat']
4,4,best_picture_cast,2001,False,['Gladiator']
5,0,best_actress,2001,True,['Julia Roberts']
6,1,best_actress,2001,False,['Joan Allen']
7,2,best_actress,2001,False,['Juliette Binoche']
8,3,best_actress,2001,False,['Ellen Burstyn']
9,4,best_actress,2001,False,['Laura Linney']
10,0,best_actor,2001,True,['Benicio Del Toro']
11,1,best_actor,2001,False,['Jamie Bell']
12,2,best_actor,2001,False,['Russell Crowe']
13,3,best_actor,2001,False,['Tom Hanks']
14,4,best_actor,2001,False,['Geoffrey Rush']
15,0,support_actress,2001,True,['Judi Dench']
16,1,support_actress,2001,False,['Kate Hudson']
17,2,support_actress,2001,False,['Frances McDormand']
18,3,support_actress,2001,False,['Julie Walters']
